"name","mac_address","serial_number","tags","firmware_version","status","public_ip","local_ip","connectivity","clients_with_usage","gateway","power_source","ethernet_1","current_clients"
"ES4-Pasillo 2","88:15:44:60:5d:da","Q2MD-4EF9-CXPZ","","MR 30.7.1","online","132.248.237.130","172.16.0.148","5/11/2026, 6:15:04 PM,4","100","true","PoE 802.3at","1000 Mbit, full duplex","6"
"ES1-Auditorio-2","88:15:44:60:d6:ec","Q2MD-4UQS-6TMX","","MR 30.7.1","online","132.248.237.130","172.16.0.155","5/11/2026, 6:15:04 PM,4","100","true","PoE 802.3at","1000 Mbit, full duplex","2590"
"EA-Dirección","88:15:44:60:4e:68","Q2MD-58AN-E466","","MR 30.7.1","online","132.248.237.130","172.16.0.131","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:42 PM,0,5/12/2026, 6:45:30 PM,4","96","true","PoE 802.3at","1000 Mbit, full duplex","1"
"ES3-Salón de Descanso","88:15:44:60:27:92","Q2MD-59ZE-JEJS","","MR 30.7.1","online","132.248.237.130","172.16.0.117","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:39 PM,0,5/12/2026, 6:45:33 PM,4","383","true","PoE 802.3at","1000 Mbit, full duplex","10"
"ES4-LIMPI2","88:15:44:60:56:6a","Q2MD-5EST-ZQ25","","MR 30.7.1","online","132.248.237.130","172.16.0.142","5/11/2026, 6:15:04 PM,4","183","true","PoE 802.3at","1000 Mbit, full duplex","25"
"ES2-Espin/Merino","88:15:44:60:56:6e","Q2MD-5HX3-SWGE","","MR 30.7.1","online","132.248.237.130","172.16.0.152","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:42 PM,0,5/12/2026, 6:45:16 PM,4","299","true","PoE 802.3at","1000 Mbit, full duplex","21"
"ES4-Bioinformatica","ac:17:c8:a3:f9:e4","Q2MD-5S45-NY32","TEST","MR 30.7.1","online","132.248.237.130","172.16.0.161","5/11/2026, 7:53:54 PM,4,5/12/2026, 6:40:33 PM,0,5/12/2026, 6:43:45 PM,4","243","true","PoE 802.3at","1000 Mbit, full duplex","27"
"ES1-Alagon","88:15:44:60:5e:24","Q2MD-67NT-ZCPP","","MR 30.7.1","online","132.248.237.130","172.16.0.149","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:42 PM,0,5/12/2026, 6:45:33 PM,4","91","true","PoE 802.3at","100 Mbit, full duplex","15"
"ES4-LIMPI3","88:15:44:60:56:f4","Q2MD-7JFS-GGST","","MR 30.7.1","online","132.248.237.130","172.16.0.143","5/11/2026, 6:16:05 PM,4","190","true","PoE 802.3at","1000 Mbit, full duplex","10"
"ES2-Dr. Galindo / Dr. Ramírez 2","88:15:44:60:4f:14","Q2MD-7Q74-8C82","","MR 30.7.1","online","132.248.237.130","172.16.0.133","5/11/2026, 7:55:56 PM,4,5/12/2026, 6:40:30 PM,0,5/12/2026, 6:45:57 PM,4","153","true","PoE 802.3at","1000 Mbit, full duplex","14"
